id,Name,Mon,Tues,Weds,Thurs,Fri,Sat,Sun,Address_1,Address_2,Address_3,Address_4,Address_5,Postcode,Tel,type,part_of
3638740,The Co-operative Funeralcare,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,By Appointment,By Appointment,10 The Crescent,,,Liverpool,Merseyside,L20 0DX,0151 525 6666,funerals,The Co-operative Group
3638741,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,50-52 Liverpool Road,Crosby,,Liverpool,Merseyside,L23 5SG,0151 924 9530,funerals,The Co-operative Group
3638742,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,By Appointment,179 Grange Lane,Gateacre,,Liverpool,Merseyside,L25 5JY,0151 428 2609,funerals,The Co-operative Group
3638743,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,By Appointment,16 Newtown Gardens,Kirkby,,Liverpool,Merseyside,L32 8RR,0151 548 2908,funerals,The Co-operative Group
3638744,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,12 - 14 Warrington Road,,,Prescot,Merseyside,L34 5RB,0151 493 1027,funerals,The Co-operative Group
3638745,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,58 Brows Lane,,,Formby,Merseyside,L37 4ED,01704 878 480,funerals,The Co-operative Group
3638746,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,22C Wigan Road,,,Ormskirk,Lancashire,L39 2AU,01695 577 244,funerals,The Co-operative Group
3638747,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,By Appointment,2 St. Ambrose Grove,Breck Road,,Liverpool,Merseyside,L4 2RL,0151 263 2791,funerals,The Co-operative Group
3638748,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,By Appointment,238 Priory Road,Anfield,,Liverpool,Merseyside,L4 2SL,0151 261 1961,funerals,The Co-operative Group
3638749,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,By Appointment,28 Walton Vale,,,Liverpool,Merseyside,L9 2BU,0151 5251 101,funerals,The Co-operative Group
3638750,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,5 George Street,,,Lancaster,Lancashire,LA1 1XQ,01524 646 50,funerals,The Co-operative Group
3638751,The Co-operative Funeralcare (Inc. M T Sawrey),09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Higgin House,Cavendish Street,,Ulverston,Cumbria,LA12 7AD,01229 582 167,funerals,The Co-operative Group
3638752,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Cumbria House,103-105 Roose Road,,Barrow In Furness,Cumbria,LA13 9RJ,01229 820 517,funerals,The Co-operative Group
3638753,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,"Unit 5, Westgate Shopping Centre",Glentworth Road West,,Morecambe,Lancashire,LA4 4SZ,01524 832 365,funerals,The Co-operative Group
3638754,The Co-operative Funeralcare,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,By Appointment,By Appointment,6 Beach Street,Bare,,Morecambe,Lancashire,LA4 6BT,01524 410 292,funerals,The Co-operative Group
3638755,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Aynam Lodge,Bridge Street,,Kendal,Cumbria,LA9 7DD,01539 739 099,funerals,The Co-operative Group
3638756,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,30 Main Street,East Leake,,Loughborough,Leicestershire,LE12 6PG,01509 854 012,funerals,The Co-operative Group
3638757,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,Unit 4 Middleton District Centre,"Ring Road, Middleton",,Leeds,West Yorkshire,LS10 4AX,0113 277 1333,funerals,The Co-operative Group
3638758,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,Unit 3 Beeston District Centre,"Town Street, Beeston",,Leeds,West Yorkshire,LS11 8PN,0113 277 5268,funerals,The Co-operative Group
3638759,The Co-operative Funeralcare,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,By Appointment,By Appointment,"The Lawns, Ashby Crescent",Bramley,,Leeds,West Yorkshire,LS13 3AE,0113 236 0673,funerals,The Co-operative Group
3638760,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,1 Hollyshaw Lane,Whitkirk,,Leeds,West Yorkshire,LS15 7BA,0113 390 9711,funerals,The Co-operative Group
3638761,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,104 New Road Side,,,Horsforth,West Yorkshire,LS18 4QB,0113 258 6921,funerals,The Co-operative Group
3638762,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,66 Main Street,Garforth,,Leeds,West Yorkshire,LS25 1AA,0113 286 8114,funerals,The Co-operative Group
3638763,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,12 Jail Yard Parade,Rothwell,,Leeds,West Yorkshire,LS26 0AF,0113 282 2422,funerals,The Co-operative Group
3638764,The Co-operative Funeralcare (Inc Asquiths Funeral Service),09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,4A Albion Street,Morley,,Leeds,West Yorkshire,LS27 8DT,0113 252 2503,funerals,The Co-operative Group
3638765,The Co-operative Funeralcare (Inc. Stanley Verity & Son),08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,20 Lidget Hill,Pudsey,,Leeds,West Yorkshire,LS28 7DR,0113 257 7788,funerals,The Co-operative Group
3638766,The Co-operative Funeralcare (Inc. John Holt),09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,26 Abbey Road,Kirkstall,,Leeds,West Yorkshire,LS5 3HS,0113 230 4064,funerals,The Co-operative Group
3638767,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,32 North Lane,Headingley,,Leeds,West Yorkshire,LS6 3HE,0113 224 2443,funerals,The Co-operative Group
3638768,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,116A Dib Lane,Oakwood,,Leeds,West Yorkshire,LS8 3AY,01132 730 838,funerals,The Co-operative Group
3638769,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,Marsh Lane,,,Leeds,West Yorkshire,LS9 8AD,0113 245 0507,funerals,The Co-operative Group
3638770,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,37 New Bedford Road,,,Luton,Bedfordshire,LU1 1SE,01582 725 493,funerals,The Co-operative Group
3638771,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,80 Wigmore Lane,Stopsley,,Luton,Bedfordshire,LU2 8AB,01582 451 209,funerals,The Co-operative Group
3638772,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,9 High Street South,,,Dunstable,Bedfordshire,LU6 3RZ,01582 475 567,funerals,The Co-operative Group
3638773,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,67 Stanbridge Road,,,Leighton Buzzard,Bedfordshire,LU7 4QA,01525 370 272,funerals,The Co-operative Group
3638774,The Co-operative Funeralcare,09:00 - 15:30,09:00 - 15:30,09:00 - 15:00,09:00 - 15:30,09:00 - 15:30,By Appointment,By Appointment,1004 Stockport Road,Levenshulme,,Manchester,Greater Manchester,M19 3WN,0161 224 7376,funerals,The Co-operative Group
3638775,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,33 Copson Street,,,Withington,Manchester,M20 3HE,0161 448 8057,funerals,The Co-operative Group
3638776,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,347 Barlow Moor Road,Chorlton-Cum-Hardy,,Manchester,Greater Manchester,M21 7QH,0161 881 9161,funerals,The Co-operative Group
3638777,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,Manchester Road,Chorlton-Cum-Hardy,,Manchester,Greater Manchester,M21 9PN,0161 881 2212,funerals,The Co-operative Group
3638778,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,2 Swan Walk,Wythenshawe,,Manchester,Greater Manchester,M22 5JZ,0161 498 0304,funerals,The Co-operative Group
3638779,The Co-operative Funeralcare (Inc. T. Broomes & Sons),09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,206-208 Hall Lane,Baguley,,Manchester,Greater Manchester,M23 1WA,0161 998 4662,funerals,The Co-operative Group
3638780,The Co-operative Funeralcare (Inc. Johnston Brothers),09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,140 Oldham Road,Middleton,,Manchester,Greater Manchester,M24 2LH,0161 643 2690,funerals,The Co-operative Group
3638781,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,438 Bury New Road,Prestwich,,Bury,Greater Manchester,M25 1BD,0161 773 1071,funerals,The Co-operative Group
3638782,The Co-operative Funeralcare,10:30 - 15:30,10:30 - 15:30,10:00 - 16:00,10:30 - 15:30,10:30 - 15:30,By Appointment,By Appointment,10/14 Ainsworth Road,Radcliffe,,Manchester,Greater Manchester,M26 4EA,0161 724 4151,funerals,The Co-operative Group
3638783,The Co-operative Funeralcare,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,10:00 - 15:00,By Appointment,By Appointment,20 Prospect Street,Tyldesley,,Manchester,Greater Manchester,M29 8AU,01942 882 530,funerals,The Co-operative Group
3638784,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 16:45,08:30 - 16:45,08:30 - 16:45,08:30 - 16:45,By Appointment,By Appointment,204 Church Street,Eccles,,Manchester,Greater Manchester,M30 0LZ,0161 789 3083,funerals,The Co-operative Group
3638785,The Co-operative Funeralcare (Inc. Wm. Hewerdine),10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,10:00 - 16:30,By Appointment,By Appointment,475 Barton Road,Stretford,,Manchester,Greater Manchester,M32 9TA,0161 747 3802,funerals,The Co-operative Group
3638786,The Co-operative Funeralcare,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,By Appointment,By Appointment,172 Marsland Road,,,Sale,Cheshire,M33 3NE,0161 905 1735,funerals,The Co-operative Group
3638787,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,53A Manchester Road,Denton,,Manchester,Greater Manchester,M34 2AF,0161 320 7812,funerals,The Co-operative Group
3638788,The Co-operative Funeralcare (Inc. Laithwaites Brothers Funeral Services),09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,139 Manchester Road East,Little Hulton,,Manchester,Greater Manchester,M38 9AN,0161 790 2063,funerals,The Co-operative Group
3638789,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,5 Station Bridge,Urmston,,Manchester,Greater Manchester,M41 9SB,0161 748 2316,funerals,The Co-operative Group
3638790,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,362-370 Manchester Road,Droylsden,,Manchester,Greater Manchester,M43 6QX,0161 371 1003,funerals,The Co-operative Group
3638791,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 16:45,08:30 - 16:45,08:30 - 16:45,08:30 - 16:45,By Appointment,By Appointment,143 Cross Lane,Salford,,Manchester,Greater Manchester,M5 4AP,0161 736 1487,funerals,The Co-operative Group
3638792,The Co-operative Funeralcare,08:30 - 15:00,08:30 - 15:00,08:30 - 15:00,08:30 - 15:00,08:30 - 12:30,By Appointment,By Appointment,491 Cheetham Hill Road,Cheetham,,Manchester,Greater Manchester,M8 9HJ,0161 740 4237,funerals,The Co-operative Group
3638793,The Co-operative Funeralcare,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,By Appointment,By Appointment,811 Rochdale Road,Harpurhey,,Manchester,Greater Manchester,M9 5XD,0161 205 1987,funerals,The Co-operative Group
3638794,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,11 Victoria Avenue,Blackley,,Manchester,Greater Manchester,M9 6RA,0161 795 3400,funerals,The Co-operative Group
3638795,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,77 East Street,,,Sittingbourne,Kent,ME10 4BQ,01795 423 904,funerals,The Co-operative Group
3638796,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,130 High Street,,,Sheerness,Kent,ME12 1UB,01795 662 908,funerals,The Co-operative Group
3638797,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,6 Limes Place,Preston Street,,Faversham,Kent,ME13 8PQ,01795 532 498,funerals,The Co-operative Group
3638798,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,79 Union Street,,,Maidstone,Kent,ME14 1ED,01622 753 033,funerals,The Co-operative Group
3638799,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,15 High Street,Strood,,Rochester,Kent,ME2 4AB,01634 719 555,funerals,The Co-operative Group
3638800,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,65 High Street,,,Chatham,Kent,ME4 4EE,01634 844 288,funerals,The Co-operative Group
3638801,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,11 Ashdown House,Walderslade,,Chatham,Kent,ME5 9LR,01634 862 331,funerals,The Co-operative Group
3638802,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,2 Livingstone Buildings,,,Gillingham,Kent,ME7 4HA,01634 850 617,funerals,The Co-operative Group
3638803,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,144 High Street,,,Rainham,Kent,ME8 8AR,01634 364 970,funerals,The Co-operative Group
3638804,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,159 Church Street,Wolverton,,Milton Keynes,Buckinghamshire,MK12 5LA,01908 311 355,funerals,The Co-operative Group
3638805,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,191 Queensway,Bletchley,,Milton Keynes,Buckinghamshire,MK2 2ED,01908 646 424,funerals,The Co-operative Group
3638806,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,341 Goldington Road,,,Bedford,Bedfordshire,MK41 9PA,01234 218 324,funerals,The Co-operative Group
3638807,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,80 Ampthill Road,,,Bedford,Bedfordshire,MK42 9HP,01234 345 045,funerals,The Co-operative Group
3638808,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,157 Windmillhill Street,,,Motherwell,Lanarkshire,ML1 1RY,01698 263 628,funerals,The Co-operative Group
3638809,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,54 Waterside Street,,,Strathaven,Lanarkshire,ML10 6AW,01357 529 292,funerals,The Co-operative Group
3638810,The Co-operative Funeralcare,09:00 - 15:30,09:00 - 15:30,09:00 - 15:30,09:00 - 15:30,09:00 - 15:30,By Appointment,By Appointment,65 Abbeygreen,,,Lesmahagow,Lanarkshire,ML11 0EF,01555 895 222,funerals,The Co-operative Group
3638811,The Co-operative Funeralcare,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,By Appointment,By Appointment,22 Bannatyne Street,,,Lanark,Lanarkshire,ML11 7JR,01555 666 644,funerals,The Co-operative Group
3638812,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 12:30,By Appointment,71 Hill Street,,,Wishaw,Lanarkshire,ML2 7BG,01698 372 378,funerals,The Co-operative Group
3638813,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 12:30,By Appointment,208 Quarry Street,,,Hamilton,Lanarkshire,ML3 6QW,01698 286 307,funerals,The Co-operative Group
3638814,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,32 Hamilton Road,,,Bellshill,Lanarkshire,ML4 1AQ,01698 747 211,funerals,The Co-operative Group
3638815,The Co-operative Funeralcare,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,By Appointment,By Appointment,1 Muiryhall Street,,,Coatbridge,Lanarkshire,ML5 3EA,01236 421 544,funerals,The Co-operative Group
3638816,The Co-operative Funeralcare,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,08:45 - 16:30,By Appointment,By Appointment,125 Graham Street,,,Airdrie,Lanarkshire,ML6 6DE,01236 762 310,funerals,The Co-operative Group
3638817,The Co-operative Funeralcare,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,09:15 - 15:15,By Appointment,By Appointment,151 Station Road,,,Shotts,Lanarkshire,ML7 4BQ,01501 821 700,funerals,The Co-operative Group
3638818,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,By Appointment,By Appointment,19 High Street,,,Carluke,Lanarkshire,ML8 4AL,01555 751 118,funerals,The Co-operative Group
3638819,The Co-operative Funeralcare,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,08:30 - 12:30,By Appointment,58 Montgomery Street,,,Larkhall,Lanarkshire,ML9 2AD,01698 882 760,funerals,The Co-operative Group
3638820,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,16-18 Ashfield Parade,,,Southgate,London,N14 5EJ,020 8886 0535,funerals,The Co-operative Group
3638821,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,806 High Road,,,Tottenham,London,N17 0DH,020 8808 3837,funerals,The Co-operative Group
3638822,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,194 Fore Street,,,Edmonton,London,N18 2JB,020 8807 4854,funerals,The Co-operative Group
3638823,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,133 High Road,,,East Finchley,London,N2 8AJ,020 8444 2396,funerals,The Co-operative Group
3638824,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,187 Holloway Road,,,Holloway,London,N7 8DJ,020 7607 2828,funerals,The Co-operative Group
3638825,The Co-operative Funeralcare,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,By Appointment,By Appointment,94 High Street,,,Hornsey,London,N8 7NT,0208 347 0498,funerals,The Co-operative Group
3638826,The Co-operative Funeralcare,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,By Appointment,By Appointment,79 Station Road,,,Forest Hall,Newcastle Upon Tyne,NE12 8AQ,0191 259 9964,funerals,The Co-operative Group
3638827,The Co-operative Funeralcare,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,By Appointment,By Appointment,Benwell House,345 Benwell Lane,,Newcastle,Newcastle Upon Tyne,NE15 6RU,0191 273 1311,funerals,The Co-operative Group
3638828,The Co-operative Funeralcare,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,09:30 - 15:30,Closed,Closed,Dene House,Hexham Road,,Throckley,Newcastle Upon Tyne,NE15 9DX,0191 264 1782,funerals,The Co-operative Group
